국가,도시,테마,추천이유,추천일정,예상항공료,숙박비,식비,총예상경비
일본,오사카,힐링,도심 속 온천과 쇼핑을 함께 즐길 수 있어 힐링에 적합,3일,300000,150000,120000,570000
일본,교토,문화,전통 사원과 정원을 통해 일본 문화를 깊이 체험할 수 있음,5일,300000,300000,200000,800000
대만,타이베이,먹방,야시장과 온천이 가까워 짧은 일정에 최적화,3일,350000,120000,90000,560000
대만,가오슝,휴양,항구 도시의 여유로운 분위기와 맛집 탐방,5일,350000,250000,150000,750000
대만,화롄,자연,타로코 협곡과 동해안의 절경을 감상할 수 있음,7일,350000,380000,210000,940000
베트남,하노이,문화,호안끼엠 호수 산책과 전통 카페 문화 체험에 적합,3일,400000,100000,75000,575000
베트남,다낭,휴양,해변 리조트와 고대 도시 호이안 탐방,5일,400000,200000,125000,725000
베트남,호치민,도시,프랑스 식민지 건축물과 활기찬 도시 문화,5일,400000,200000,125000,725000
베트남,푸꾸옥,휴양,아름다운 해변과 신선한 해산물을 즐길 수 있음,7일,400000,300000,175000,875000
베트남,다낭,한달살기,장기 체류를 통한 현지 문화 체험,30일,400000,1800000,1200000,3400000
태국,치앙마이,힐링,마사지와 사원 투어로 내면의 평안을 찾을 수 있음,3일,450000,110000,90000,650000
태국,방콕,도시,사원과 쇼핑몰이 조화된 동남아 대표 도시,5일,450000,220000,150000,820000
태국,치앙마이,한달살기,저렴한 생활비로 힐링과 문화 체험 동시에,30일,450000,1650000,1350000,3450000
말레이시아,쿠알라룸푸르,먹방,다양한 민족 음식과 야시장을 즐기기 적합,3일,450000,130000,90000,670000
말레이시아,조호르바루,쇼핑,싱가포르와 인접해 쇼핑과 관광을 함께 즐김,5일,450000,260000,150000,860000
싱가포르,싱가포르,도시,깨끗한 도시와 다양한 문화가 공존하는 관광지,3일,500000,240000,180000,920000
싱가포르,센토사,휴양,테마파크와 해변을 함께 즐길 수 있는 리조트,5일,500000,450000,300000,1250000
홍콩,홍콩,쇼핑,쇼핑과 야경이 유명한 아시아 금융 중심지,3일,400000,180000,135000,715000
인도네시아,자카르타,도시,동남아시아 최대 도시의 역동적인 문화 체험,3일,450000,120000,90000,660000
인도네시아,발리,휴양,열대 해변과 힌두 문화가 어우러진 휴양지,5일,450000,250000,150000,850000
필리핀,마닐라,도시,스페인 식민지 역사와 현대 문화가 공존,3일,450000,120000,90000,660000
필리핀,보라카이,휴양,세계적으로 유명한 화이트 비치 휴양지,5일,450000,250000,150000,850000
필리핀,세부,휴양,다이빙과 아일랜드 호핑을 즐길 수 있는 섬,7일,450000,380000,210000,1040000
터키,이스탄불,문화,유럽과 아시아가 만나는 역사적 도시,3일,800000,180000,120000,1100000
터키,카파도키아,자연,기암괴석과 열기구 체험으로 유명한 관광지,5일,800000,350000,200000,1350000
터키,안탈리아,한달살기,지중해성 기후에서의 여유로운 장기 체류,30일,800000,2400000,1800000,5000000
미국,뉴욕,도시,세계 최고의 도시 문화와 브로드웨이 뮤지컬,7일,1500000,1750000,700000,3950000
미국,샌프란시스코,도시,실리콘밸리와 금문교로 유명한 서부 대표 도시,7일,1500000,1750000,700000,3950000
미국,포틀랜드,한달살기,자연과 도시가 조화된 친환경 도시에서의 체류,30일,1500000,6000000,3000000,10500000
캐나다,퀘벡시티,문화,프랑스풍 건축과 문화를 체험할 수 있는 도시,7일,1400000,1400000,560000,3360000
캐나다,몬트리올,한달살기,북미 속 유럽 문화를 장기간 체험,30일,1400000,4500000,2400000,8300000
스페인,바르셀로나,문화,가우디 건축물과 지중해 문화를 만끽,7일,1200000,1050000,490000,2740000
이탈리아,시칠리아,문화,이탈리아 남부의 독특한 문화와 역사 탐방,7일,1200000,980000,490000,2670000
이탈리아,토스카나,한달살기,와인과 예술이 어우러진 이탈리아 중부 체류,30일,1200000,3600000,2100000,6900000
프랑스,파리,문화,세계적인 예술과 패션의 중심지 탐방,7일,1300000,1260000,490000,3050000
프랑스,리옹,한달살기,프랑스 미식 문화의 중심지에서의 장기 체류,30일,1300000,3300000,2100000,6700000
포르투갈,리스본,한달살기,유럽 최고의 가성비를 자랑하는 남유럽 체류,30일,1100000,2700000,1500000,5300000
체코,프라하,한달살기,중세 유럽의 아름다움이 살아있는 도시 체류,30일,1000000,2100000,1200000,4300000
조지아,트빌리시,한달살기,코카서스 지역의 독특한 문화와 저렴한 물가,30일,900000,1500000,900000,3300000
호주,시드니,도시,오페라하우스와 하버브릿지로 유명한 남반구 대표 도시,7일,1600000,1820000,630000,4050000
호주,멜버른,문화,커피 문화와 거리 예술이 발달한 문화 도시,7일,1600000,1750000,630000,3980000
호주,골드코스트,휴양,연중 300일 맑은 날씨의 해변 휴양 도시,5일,1600000,1000000,400000,3000000
뉴질랜드,오클랜드,자연,아름다운 항구와 화산섬을 감상할 수 있는 도시,5일,1500000,1000000,375000,2875000
뉴질랜드,퀸스타운,모험,번지점프와 스카이다이빙의 발상지 모험 도시,7일,1500000,1680000,525000,3705000
뉴질랜드,크라이스트처치,자연,남섬의 관문으로 알프스 산맥 관광 기점,5일,1500000,950000,375000,2825000
브라질,리우데자네이루,문화,코르코바도 예수상과 카니발로 유명한 도시,7일,2000000,1400000,630000,4030000
브라질,상파울루,도시,남미 최대 도시이자 경제 중심지,5일,2000000,1000000,450000,3450000
아르헨티나,부에노스아이레스,문화,남미의 파리로 불리는 탱고의 도시,7일,2000000,1260000,560000,3820000
아르헨티나,바릴로체,자연,파타고니아 호수와 설산의 절경,5일,2200000,800000,350000,3350000
페루,리마,문화,스페인 식민지 유산과 페루 요리의 중심지,5일,2000000,750000,300000,3050000
페루,쿠스코,문화,잉카 제국의 수도이자 마추픽추 관광 기점,3일,2200000,450000,180000,2830000
칠레,산티아고,도시,안데스 산맥을 배경으로 한 남미의 현대 도시,5일,2100000,900000,400000,3400000
칠레,발파라이소,문화,컬러풀한 언덕 도시와 항구 문화 체험,3일,2100000,540000,240000,2880000
볼리비아,라파스,문화,세계에서 가장 높은 수도이자 안데스 문화 중심지,3일,2000000,360000,150000,2510000
볼리비아,우유니,자연,세계 최대 소금사막과 천공의 거울 체험,2일,2200000,480000,120000,2800000
남아프리카공화국,케이프타운,자연,희망봉과 테이블마운틴의 절경,7일,1800000,1400000,560000,3760000
남아프리카공화국,요하네스버그,도시,아프리카 경제 중심지이자 사파리 관문,5일,1800000,1000000,400000,3200000
케냐,나이로비,자연,사파리 투어의 시작점이자 야생동물 보호구역,5일,1600000,750000,300000,2650000
케냐,마사이마라,자연,대이동과 빅파이브를 볼 수 있는 사파리 성지,3일,1800000,900000,180000,2880000
탄자니아,다르에스살람,자연,세렝게티와 킬리만자로 관광의 관문,5일,1700000,750000,250000,2700000
탄자니아,아루샤,자연,세렝게티 사파리와 응고롱고로 분화구 탐방 기점,3일,1800000,540000,150000,2490000
이집트,카이로,문화,피라미드와 스핑크스가 있는 고대 문명의 중심지,5일,1400000,750000,300000,2450000
이집트,룩소르,문화,파라오들의 무덤과 신전이 모여있는 고대 도시,3일,1500000,450000,180000,2130000
모로코,마라케시,문화,붉은 도시로 불리는 사하라 사막 관문,5일,1300000,750000,300000,2350000
모로코,페스,문화,중세 이슬람 문화가 살아있는 모로코 고도,3일,1300000,450000,180000,1930000
